2022-03-05 22:22:34,820 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@81d9a72, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@747f281, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1169afe1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ca26d77, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4808bc9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70e38ce1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ca923bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13df2a8c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ebea008, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7de62196, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@163370c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51bf5add, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7905a0b8]
2022-03-05 22:22:35,139 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - Starting PaperOnlineSystemApplicationTests using Java 1.8.0_191 on LAPTOP-G7S1G36P with PID 23740 (started by panyd_academy in E:\IDEA_Project\PaperOnlineSystem)
2022-03-05 22:22:35,139 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - The following profiles are active: dev
2022-03-05 22:22:37,254 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - Started PaperOnlineSystemApplicationTests in 2.395 seconds (JVM running for 3.285)
2022-03-05 22:30:40,341 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests], using SpringBootContextLoader
2022-03-05 22:30:40,346 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-05 22:30:40,347 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests]: PaperOnlineSystemApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-03-05 22:30:40,447 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.pyd.paperonlinesystem.PaperOnlineSystemApplication for test class com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests
2022-03-05 22:30:40,529 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-03-05 22:30:40,543 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@81d9a72, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@747f281, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1169afe1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ca26d77, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4808bc9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70e38ce1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ca923bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13df2a8c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ebea008, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7de62196, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@163370c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51bf5add, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7905a0b8]
2022-03-05 22:30:40,857 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - Starting PaperOnlineSystemApplicationTests using Java 1.8.0_191 on LAPTOP-G7S1G36P with PID 20864 (started by panyd_academy in E:\IDEA_Project\PaperOnlineSystem)
2022-03-05 22:30:40,858 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - The following profiles are active: dev
2022-03-05 22:30:43,104 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - Started PaperOnlineSystemApplicationTests in 2.521 seconds (JVM running for 3.384)
